E_Scan -1.3405774503200E+03 -4.3022483039740E+02  Phi  -180.0
    2.203541     0.373271     1.108440
    3.145526    -0.616125     0.911362
    4.029133    -0.577874    -0.175581
    5.277320    -2.474264     0.714419
    6.039577    -1.340338    -1.323486
    3.916346     0.510653    -1.044731
    2.951641     1.484110    -0.850034
   -1.535809    -1.521732    -0.121982
   -4.907405     0.648621     1.827026
   -5.838512    -0.750990     1.306509
   -5.536986     0.566006     0.188589
   -2.014541    -4.216466    -0.921759
   -3.601247    -4.422908    -0.419240
    1.500335     3.418790     0.464814
   -3.918305     2.271948     0.644884
   -2.672566     4.393742     0.840095
    1.547587     0.314719     1.956292
    3.188180    -1.416369     1.622309
    6.024690    -3.186333     0.394015
    4.404955    -3.041229     1.014039
    5.659828    -1.946941     1.588685
    6.672967    -2.214672    -1.374939
    6.657720    -0.485908    -1.045807
    5.650747    -1.169301    -2.319480
    4.567587     0.609367    -1.889622
    2.880125     2.298191    -1.550095
E_Scan -1.3405786177500E+03 -4.2253001848379E+02  Phi  -0.0
Coordinate
   -3.996977    -2.077892     0.282846
   -2.681425    -3.970718    -0.007408
   -0.823363     3.543125     0.759578
    1.163350     2.481665     0.486151
    4.950900    -1.590525    -0.446974
   -0.752830     1.198793     0.467599
   -5.169881     0.033463     0.646224
   -3.882300    -0.720401     0.454941
   -2.842952    -2.625258     0.131044
   -2.619996    -0.225093     0.424481
   -2.076285     1.126041     0.553365
   -2.840715     2.275094     0.749263
   -2.132181     3.457286     0.843437
   -0.186594     2.387785     0.569403
    2.085673     1.433017     0.246251
    2.216914     0.361201     1.115206
    3.153841    -0.627602     0.892200
    4.019914    -0.578747    -0.208325
    5.279207    -2.486554     0.640655
    6.010310    -1.331677    -1.396907
    3.895225     0.519649    -1.063341
    2.935666     1.492571    -0.842401
   -1.488948    -1.550675     0.178803
   -5.188553     0.553411     1.597826
   -5.988809    -0.671269     0.624517
   -5.323782     0.764009    -0.140652
   -1.879352    -4.291560    -0.502283
   -3.523668    -4.459911    -0.221516
    1.507923     3.414279     0.519297
   -3.905365     2.269038     0.824822
   -2.655327     4.386370     0.995557
    1.575264     0.294905     1.973433
    3.206900    -1.435379     1.593902
    6.020367    -3.195995     0.300603
    4.410917    -3.055715     0.947963
    5.676302    -1.969413     1.514494
    6.641197    -2.206427    -1.468227
    6.634410    -0.481359    -1.119971
    5.605612    -1.149108    -2.384484
    4.532992     0.626635    -1.917445
    2.854379     2.314435    -1.532196
E_Scan -1.3405785574500E+03 -4.2253128401825E+02  Phi  10.0
Coordinate
   -4.101522    -2.012242    -0.347669
   -2.840780    -3.927861     0.027877
   -0.960155     3.625128     0.109193
    1.038892     2.552821     0.146177
    4.886767    -1.566008    -0.021980
